Name,Link,Phone Number,Website,Email
Four Seasons Hotel Istanbul At Sultanahmet,https://www.google.com/maps/place/Four+Seasons+Hotel+Istanbul+At+Sultanahmet/data=!4m7!3m6!1s0x14cab9bc45ca8d25:0xa5d669769ae3977d!8m2!3d41.0065918!4d28.9802147!16s%2Fg%2F11b76gw9nv!19sChIJJY3KRby5yhQRfZfjmnZp1qU?authuser=0&hl=en&rclk=1,(0212) 402 30 00,https://www.fourseasons.com/istanbul/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-ist-hre-mid-seo-na&utm_content=na-na&utm_term=na,N/A
Aliée Istanbul - A Paris Society Collection Hotel,https://www.google.com/maps/place/Ali%C3%A9e+Istanbul+-+A+Paris+Society+Collection+Hotel/data=!4m7!3m6!1s0x14cab985f1039601:0x50727125576dfbe7!8m2!3d41.0348506!4d28.9580413!16s%2Fg%2F11ybpmb7pg!19sChIJAZYD8YW5yhQR5_ttVyVxclA?authuser=0&hl=en&rclk=1,(0212) 393 11 00,https://alieeistanbul.com/en,N/A
Royal Inci Hotel,https://www.google.com/maps/place/Royal+Inci+Hotel/data=!4m7!3m6!1s0x14caa38ed99dcf63:0xf3069e5d4cc23e10!8m2!3d41.0011449!4d28.7982921!16s%2Fg%2F11c43z9sh4!19sChIJY8-d2Y6jyhQRED7CTF2eBvM?authuser=0&hl=en&rclk=1,(0212) 599 99 23,http://www.royalincihotel.com/,info@royalincihotel.com
seyithan palace hotel,https://www.google.com/maps/place/seyithan+palace+hotel/data=!4m7!3m6!1s0x14cab1d3c24e1a97:0x5d37431d22e40d53!8m2!3d41.0081552!4d28.7980588!16s%2Fg%2F11pc9rs69g!19sChIJlxpOwtOxyhQRUw3kIh1DN10?authuser=0&hl=en&rclk=1,(0212) 693 68 68,https://seyithanpalacehotel.com/,N/A
"Radisson Blu Hotel, Istanbul Ottomare","https://www.google.com/maps/place/Radisson+Blu+Hotel,+Istanbul+Ottomare/data=!4m7!3m6!1s0x14cabb9db1c5c5a3:0x7e63dfd8e88c54ce!8m2!3d40.9813918!4d28.8974205!16s%2Fg%2F11ckvnkwnz!19sChIJo8XFsZ27yhQRzlSM6NjfY34?authuser=0&hl=en&rclk=1",(0212) 939 45 00,https://www.radissonhotels.com/en-us/hotels/radisson-blu-istanbul-ottomare?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:eerut+h:TRISTOTT,N/A
Wyndham Grand Istanbul Kalamis Marina Hotel,https://www.google.com/maps/place/Wyndham+Grand+Istanbul+Kalamis+Marina+Hotel/data=!4m7!3m6!1s0x14cab880e33361f3:0xa24ff3c5a1b0381e!8m2!3d40.9773632!4d29.0416963!16s%2Fg%2F1q62h6f8b!19sChIJ82Ez44C4yhQRHjiwocXzT6I?authuser=0&hl=en&rclk=1,(0216) 400 00 00,https://www.wyndhamhotels.com/tr-tr/wyndham-grand/istanbul-turkey/wyndham-grand-istanbul-kalamis-marina/overview?CID=LC:46q62bu8edfbx3y:44971&iata=00093796,accessibility@wyn.com
Avcılar İnci Hotel,https://www.google.com/maps/place/Avc%C4%B1lar+%C4%B0nci+Hotel/data=!4m7!3m6!1s0x14caa05367226fcd:0xb2436d092e0ab8ef!8m2!3d40.9872445!4d28.7184223!16s%2Fg%2F1ptzzl__v!19sChIJzW8iZ1OgyhQR77gKLgltQ7I?authuser=0&hl=en&rclk=1,(0212) 509 68 00,http://www.avcilarincihotel.com/,info@avcilarincihotel.com
La Vie Suits - Avcılar Otel,https://www.google.com/maps/place/La+Vie+Suits+-+Avc%C4%B1lar+Otel/data=!4m7!3m6!1s0x14caa1bcae123459:0x3837d2caee0d70c0!8m2!3d40.9914028!4d28.7117342!16s%2Fg%2F11jly4p8rl!19sChIJWTQSrryhyhQRwHAN7srSNzg?authuser=0&hl=en&rclk=1,0542 762 92 82,https://www.laviesuits.com/,info@laviesuits.com
Address Istanbul,https://www.google.com/maps/place/Address+Istanbul/data=!4m7!3m6!1s0x14cac7e0a8329b5f:0x258d52fdf348027e!8m2!3d41.0041673!4d29.0715683!16s%2Fg%2F11rfwggf62!19sChIJX5syqODHyhQRfgJI8_1SjSU?authuser=0&hl=en&rclk=1,(0216) 285 11 11,https://www.addresshotels.com/en/hotels/address-istanbul/,irdadfuh@addresshotels.com
E5 Park Otel,https://www.google.com/maps/place/E5+Park+Otel/data=!4m7!3m6!1s0x14caa17144d4b5e3:0x71d02438bc2bf25e!8m2!3d41.0000602!4d28.6952533!16s%2Fg%2F11vs8bwmkv!19sChIJ47XURHGhyhQRXvIrvDgk0HE?authuser=0&hl=en&rclk=1,0532 137 94 72,https://e5parkotel.com/,info@e5parkotel.com
Sultanahmet Nu Hotel,https://www.google.com/maps/place/Sultanahmet+Nu+Hotel/data=!4m7!3m6!1s0x14cab9149ea04dd7:0xd99ee40c6598e9a6!8m2!3d41.0064634!4d28.9723246!16s%2Fg%2F11fl5n285j!19sChIJ102gnhS5yhQRpumYZQzkntk?authuser=0&hl=en&rclk=1,(0212) 516 95 93,http://www.sultanahmetnuhotel.com/,info@sultanahmetnuhotel.com
Big Life Hotel - Avcılar,https://www.google.com/maps/place/Big+Life+Hotel+-+Avc%C4%B1lar/data=!4m7!3m6!1s0x14caa1bcb12b6a7d:0xf0efb04432ffb48!8m2!3d40.9934712!4d28.7081528!16s%2Fg%2F11s2qldv67!19sChIJfWorsbyhyhQRSPsvQwT7Dg8?authuser=0&hl=en&rclk=1,0531 714 83 54,N/A,N/A
Valens Boutique Hotel,https://www.google.com/maps/place/Valens+Boutique+Hotel/data=!4m7!3m6!1s0x14cabb9965db56f9:0xb4fe27044638252e!8m2!3d41.0023961!4d28.9418189!16s%2Fg%2F11scsj__v3!19sChIJ-VbbZZm7yhQRLiU4RgQn_rQ?authuser=0&hl=en&rclk=1,(0212) 585 30 30,http://www.valensbutikhotel.com/,info@valensbutikhotel.com
JW Marriott Istanbul Bosphorus,https://www.google.com/maps/place/JW+Marriott+Istanbul+Bosphorus/data=!4m7!3m6!1s0x14cab99f9aba24db:0x45fa3fb3bb820a40!8m2!3d41.0241112!4d28.9792252!16s%2Fg%2F11h5mcm6zf!19sChIJ2yS6mp-5yhQRQAqCu7M_-kU?authuser=0&hl=en&rclk=1,(0212) 806 20 20,https://www.marriott.com/en-us/hotels/istjb-jw-marriott-istanbul-bosphorus/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,N/A
KOCAK PENSION OTEL,https://www.google.com/maps/place/KOCAK+PENSION+OTEL/data=!4m7!3m6!1s0x14cab98078b219c5:0xe6a424280153e0d6!8m2!3d41.0033979!4d28.9529386!16s%2Fg%2F11c1sjtyyf!19sChIJxRmyeIC5yhQR1uBTASgkpOY?authuser=0&hl=en&rclk=1,0538 875 46 66,https://www.kocakpansiyon.com/,kocakpansiyon@hotmail.com
Stylish Hotel,https://www.google.com/maps/place/Stylish+Hotel/data=!4m7!3m6!1s0x14cab97b1985ce21:0x35644a64111cb8a9!8m2!3d41.0051641!4d28.9618483!16s%2Fg%2F11v3l6v_k2!19sChIJIc6FGXu5yhQRqbgcEWRKZDU?authuser=0&hl=en&rclk=1,(0212) 516 03 64,https://stylishotel.com/,info@stylishotel.com
Avist Otel,https://www.google.com/maps/place/Avist+Otel/data=!4m7!3m6!1s0x14caa05819a632c9:0x4c937f902e67f763!8m2!3d40.9935738!4d28.7080972!16s%2Fg%2F11vbzcdf9y!19sChIJyTKmGVigyhQRY_dnLpB_k0w?authuser=0&hl=en&rclk=1,0552 156 02 02,https://www.avisthotel.com/,N/A
The Central House Istanbul Taksim,https://www.google.com/maps/place/The+Central+House+Istanbul+Taksim/data=!4m7!3m6!1s0x14cab708daab190d:0x511a6e5dcae02439!8m2!3d41.0434299!4d28.9854916!16s%2Fg%2F1tcvl8xl!19sChIJDRmr2gi3yhQROSTgyl1uGlE?authuser=0&hl=en&rclk=1,0542 139 30 11,https://www.wabihostels.com/,N/A
Radisson Hotel Istanbul Sultanahmet,https://www.google.com/maps/place/Radisson+Hotel+Istanbul+Sultanahmet/data=!4m7!3m6!1s0x14cab9dfffdd868d:0x9447dd465106fed8!8m2!3d41.003539!4d28.981793!16s%2Fg%2F11bz0bd5bp!19sChIJjYbd_9-5yhQR2P4GUUbdR5Q?authuser=0&hl=en&rclk=1,(0212) 516 23 13,https://www.radissonhotels.com/en-us/hotels/radisson-istanbul-sultanahmet?cid=a:se+b:gmb+c:emea+i:local+e:rad+d:eerut+h:TRISTSUK,N/A
