Name,Link,Phone Number
Bosphorus Cruis,https://www.google.com/maps/place/Bosphorus+Cruis/data=!4m7!3m6!1s0x14cab7634d9de36f:0x414fbdb9732aacef!8m2!3d41.023755!4d28.976162!16s%2Fg%2F11vm14c7rj!19sChIJb-OdTWO3yhQR76wqc7m9T0E?authuser=0&hl=en&rclk=1,0531 161 00 92
Istanbul Workshops,https://www.google.com/maps/place/Istanbul+Workshops/data=!4m7!3m6!1s0x14cab7b7d0f99209:0x70a4b9f8cb04158b!8m2!3d41.023278!4d29.014729!16s%2Fg%2F11vr07w1m0!19sChIJCZL50Le3yhQRixUEy_i5pHA?authuser=0&hl=en&rclk=1,0533 167 62 71
Istanbul Archaeological Museums,https://www.google.com/maps/place/Istanbul+Archaeological+Museums/data=!4m7!3m6!1s0x14cab9bf5a42b741:0xb317911e4bef3829!8m2!3d41.0116855!4d28.9813305!16zL20vMGNuNjE4!19sChIJQbdCWr-5yhQRKTjvSx6RF7M?authuser=0&hl=en&rclk=1,(0212) 520 77 40
Turkish & Islamic Arts Museum,https://www.google.com/maps/place/Turkish+%26+Islamic+Arts+Museum/data=!4m7!3m6!1s0x14cab997c77fbc9d:0xfb3d29d1ea7af194!8m2!3d41.0062236!4d28.9747201!16s%2Fm%2F026v7b0!19sChIJnbx_x5e5yhQRlPF66tEpPfs?authuser=0&hl=en&rclk=1,(0212) 518 18 05
Topkapi Palace Museum,https://www.google.com/maps/place/Topkapi+Palace+Museum/data=!4m7!3m6!1s0x14cab9b8afa5f833:0x15aa1943c3015300!8m2!3d41.0115195!4d28.9833789!16zL20vMDFsZ2N3!19sChIJM_ilr7i5yhQRAFMBw0MZqhU?authuser=0&hl=en&rclk=1,(0212) 512 04 80
Kariye Mosque,https://www.google.com/maps/place/Kariye+Mosque/data=!4m7!3m6!1s0x14caba10452ec3d9:0x7049b74f9ff4d60c!8m2!3d41.031205!4d28.9391883!16zL20vMDhrMTQ3!19sChIJ2cMuRRC6yhQRDNb0n0-3SXA?authuser=0&hl=en&rclk=1,N/A
Istanbul Museum of Modern Art,https://www.google.com/maps/place/Istanbul+Museum+of+Modern+Art/data=!4m7!3m6!1s0x14cab9d90f6ec2c3:0x3bae486f6c10e89d!8m2!3d41.0259196!4d28.9828383!16zL20vMGJ2djhw!19sChIJw8JuD9m5yhQRnegQbG9Irjs?authuser=0&hl=en&rclk=1,(0212) 334 73 00
Galata Mevlevihanesi Museum,https://www.google.com/maps/place/Galata+Mevlevihanesi+Museum/data=!4m7!3m6!1s0x14cab9e0c8ecc0c3:0x5e2a6aa346ec3b48!8m2!3d41.0281197!4d28.9744646!16s%2Fg%2F121hrdf1!19sChIJw8DsyOC5yhQRSDvsRqNqKl4?authuser=0&hl=en&rclk=1,(0212) 245 41 41
Rahmi M. Koç Museum,https://www.google.com/maps/place/Rahmi+M.+Ko%C3%A7+Museum/data=!4m7!3m6!1s0x14cab0abafe5d4c1:0x44361327b10bbc5e!8m2!3d41.0418545!4d28.9491335!16zL20vMDg0anps!19sChIJwdTlr6uwyhQRXrwLsScTNkQ?authuser=0&hl=en&rclk=1,(0212) 369 66 00
Harbiye Military Museum and Cultural Site Command,https://www.google.com/maps/place/Harbiye+Military+Museum+and+Cultural+Site+Command/data=!4m7!3m6!1s0x14cab70d7d3a7ec9:0x9a786bc365e36281!8m2!3d41.0481642!4d28.9878852!16zL20vMDhnd2h4!19sChIJyX46fQ23yhQRgWLjZcNreJo?authuser=0&hl=en&rclk=1,(0212) 233 27 20
