Name,Link,Phone Number
Beak Coffee Roastery & Bakery - Başakşehir,https://www.google.com/maps/place/Beak+Coffee+Roastery+%26+Bakery+-+Ba%C5%9Fak%C5%9Fehir/data=!4m7!3m6!1s0x14caaf058e7f7233:0x46cc5258566ce123!8m2!3d41.0999176!4d28.7881263!16s%2Fg%2F11yrw0l6t1!19sChIJM3J_jgWvyhQRI-FsVlhSzEY?authuser=0&hl=en&rclk=1,0535 867 17 39
Feeka Coffee,https://www.google.com/maps/place/Feeka+Coffee/data=!4m7!3m6!1s0x14caaf00613b207d:0x6657ae8f1e3b16d!8m2!3d41.0981261!4d28.7880944!16s%2Fg%2F11ybtwwb70!19sChIJfSA7YQCvyhQRbbHj8eh6ZQY?authuser=0&hl=en&rclk=1,N/A
Coffee No.4,https://www.google.com/maps/place/Coffee+No.4/data=!4m7!3m6!1s0x14cab9a0ce78a5ff:0x79b093747955aa11!8m2!3d41.0091161!4d28.9751967!16s%2Fg%2F11thl0h3dr!19sChIJ_6V4zqC5yhQREapVeXSTsHk?authuser=0&hl=en&rclk=1,0552 805 43 58
Mandel Coffee Meydan,https://www.google.com/maps/place/Mandel+Coffee+Meydan/data=!4m7!3m6!1s0x14caaf00554ed9fb:0x3b207fba7435318a!8m2!3d41.1047472!4d28.7943218!16s%2Fg%2F11xh942nrp!19sChIJ-9lOVQCvyhQRijE1dLp_IDs?authuser=0&hl=en&rclk=1,0532 069 59 37
Coffeetopia Eminönü,https://www.google.com/maps/place/Coffeetopia+Emin%C3%B6n%C3%BC/data=!4m7!3m6!1s0x14cab9ebaccc6ef7:0xa746369a77e5666c!8m2!3d41.0165769!4d28.9732764!16s%2Fg%2F11b6mnhjhy!19sChIJ927MrOu5yhQRbGbld5o2Rqc?authuser=0&hl=en&rclk=1,(0212) 522 61 77
Newtown Specialty Coffee Kayaşehir,https://www.google.com/maps/place/Newtown+Specialty+Coffee+Kaya%C5%9Fehir/data=!4m7!3m6!1s0x14caaf2fcc58522d:0xa00e05b881a01807!8m2!3d41.1184436!4d28.774251!16s%2Fg%2F11rwx05d8g!19sChIJLVJYzC-vyhQRBxiggbgFDqA?authuser=0&hl=en&rclk=1,(0212) 812 90 60
daRoute Coffee,https://www.google.com/maps/place/daRoute+Coffee/data=!4m7!3m6!1s0x14cab9f580612fa7:0x33c1ab90f1775616!8m2!3d41.0059892!4d28.973153!16s%2Fg%2F11kqwxl1_6!19sChIJpy9hgPW5yhQRFlZ38ZCrwTM?authuser=0&hl=en&rclk=1,0549 294 04 40
Coffee Sapiens,https://www.google.com/maps/place/Coffee+Sapiens/data=!4m7!3m6!1s0x14cab9dc02b9b97d:0x7ea8875fcf02c832!8m2!3d41.0259025!4d28.9811386!16s%2Fg%2F1q6294rfz!19sChIJfbm5Aty5yhQRMsgCz1-HqH4?authuser=0&hl=en&rclk=1,0541 721 40 08
Sestra Coffee,https://www.google.com/maps/place/Sestra+Coffee/data=!4m7!3m6!1s0x14caafc47d335f37:0xddc1ac7ab7c948a2!8m2!3d41.1078328!4d28.788915!16s%2Fg%2F11wxgz0tmd!19sChIJN18zfcSvyhQRokjJt3qswd0?authuser=0&hl=en&rclk=1,0533 246 80 20
Cups & Clouds Coffee Çam ve Sakura Şehir Hastanesi,https://www.google.com/maps/place/Cups+%26+Clouds+Coffee+%C3%87am+ve+Sakura+%C5%9Eehir+Hastanesi/data=!4m7!3m6!1s0x14caddad1ef9c737:0xa605bb2109877dd2!8m2!3d41.1039964!4d28.7796518!16s%2Fg%2F11w3n03dqc!19sChIJN8f5Hq3dyhQR0n2HCSG7BaY?authuser=0&hl=en&rclk=1,0549 619 12 70
