Name,Link,Phone Number,Website,Email
abc horizon,https://www.google.com/maps/place/abc+horizon/data=!4m7!3m6!1s0x14caba2485545cc1:0x9c39b42c7b74a0c0!8m2!3d41.017121!4d28.943232!16s%2Fg%2F11bwyqhl8f!19sChIJwVxUhSS6yhQRwKB0eyy0OZw?authuser=0&hl=en&rclk=1,(0212) 492 01 16,http://abchorizon.com/,tcstnbl@gmail.com
Mor Academia,https://www.google.com/maps/place/Mor+Academia/data=!4m7!3m6!1s0x14cab70be595556d:0x15a46c946af3eafb!8m2!3d41.049501!4d28.994687!16s%2Fg%2F11b77jgp_p!19sChIJbVWV5Qu3yhQR--rzapRspBU?authuser=0&hl=en&rclk=1,(0212) 296 83 87,https://moracademia.com/,N/A
Istanbul University,https://www.google.com/maps/place/Istanbul+University/data=!4m7!3m6!1s0x14cab98ddc3c6be3:0x4f51928bdbcd627a!8m2!3d41.0126037!4d28.961838!16zL20vMDMzdGdk!19sChIJ42s83I25yhQRemLN24uSUU8?authuser=0&hl=en&rclk=1,(0212) 440 00 00,https://www.istanbul.edu.tr/,kurumsaliletisim@istanbul.edu.tr
Istanbul Sabahattin Zaim University,https://www.google.com/maps/place/Istanbul+Sabahattin+Zaim+University/data=!4m7!3m6!1s0x14caa438a39f52db:0xa4eb20ddc406fa96!8m2!3d41.0331205!4d28.7884944!16s%2Fm%2F0zdnj1v!19sChIJ21KfozikyhQRlvoGxN0g66Q?authuser=0&hl=en&rclk=1,444 9 798,http://www.izu.edu.tr/,N/A
Istanbul Aydın University,https://www.google.com/maps/place/Istanbul+Ayd%C4%B1n+University/data=!4m7!3m6!1s0x14caa396db59606d:0x6594147beb14e9b4!8m2!3d40.9905166!4d28.7971611!16s%2Fm%2F0kg2tb3!19sChIJbWBZ25ajyhQRtOkU63sUlGU?authuser=0&hl=en&rclk=1,444 1 428,https://www.aydin.edu.tr/,N/A
Boğaziçi University,https://www.google.com/maps/place/Bo%C4%9Fazi%C3%A7i+University/data=!4m7!3m6!1s0x14cac9ff47fbad73:0xbd6495985c46cd0e!8m2!3d41.0836151!4d29.0517642!16zL20vMDJ2eG1o!19sChIJc637R__JyhQRDs1GXJiVZL0?authuser=0&hl=en&rclk=1,(0212) 359 54 00,https://bogazici.edu.tr/,bogaziciuniversitesi@hs01.kep.tr
Istanbul Kültür University,https://www.google.com/maps/place/Istanbul+K%C3%BClt%C3%BCr+University/data=!4m7!3m6!1s0x14caa35ee1fdc1b1:0x658a212e6b4359b5!8m2!3d40.9912928!4d28.8321354!16s%2Fm%2F0ch4_4d!19sChIJscH94V6jyhQRtVlDay4himU?authuser=0&hl=en&rclk=1,(0212) 498 41 41,https://www.iku.edu.tr/,kultur@iku.edu.tr
Koc University,https://www.google.com/maps/place/Koc+University/data=!4m7!3m6!1s0x409fe093fb4f1e2f:0xb51b89285c845350!8m2!3d41.20543!4d29.0724115!16zL20vMDZ5ZHp4!19sChIJLx5P-5Pgn0ARUFOEXCiJG7U?authuser=0&hl=en&rclk=1,(0212) 338 10 00,http://www.ku.edu.tr/,information@ku.edu.tr
Kadir Has University,https://www.google.com/maps/place/Kadir+Has+University/data=!4m7!3m6!1s0x14cab9f12ab56e17:0x9485bbf687d7cbfd!8m2!3d41.0249511!4d28.9589739!16s%2Fm%2F026kpcz!19sChIJF261KvG5yhQR_cvXh_a7hZQ?authuser=0&hl=en&rclk=1,(0212) 533 65 32,http://www.khas.edu.tr/,khas@hs01.kep.tr
Istanbul Gelişim University,https://www.google.com/maps/place/Istanbul+Geli%C5%9Fim+University/data=!4m7!3m6!1s0x14caa0f5088d375d:0xfc55898b29bc7b33!8m2!3d40.9980215!4d28.698976!16s%2Fg%2F1hb_dh4lr!19sChIJXTeNCPWgyhQRM3u8KYuJVfw?authuser=0&hl=en&rclk=1,(0212) 422 70 00,https://www.gelisim.edu.tr/,N/A
Istanbul Technical University,https://www.google.com/maps/place/Istanbul+Technical+University/data=!4m7!3m6!1s0x14cab5c224b2ead7:0x4a28984b84971619!8m2!3d41.1055941!4d29.0253401!16zL20vMDM3bTRm!19sChIJ1-qyJMK1yhQRGRaXhEuYKEo?authuser=0&hl=en&rclk=1,(0212) 285 30 30,http://www.itu.edu.tr/,itu@hs01.kep.tr
Altinbas Holding,https://www.google.com/maps/place/Altinbas+Holding/data=!4m7!3m6!1s0x14caa572bcf1f79f:0x1c90398a23fee242!8m2!3d41.057263!4d28.8203685!16s%2Fm%2F0pdny5h!19sChIJn_fxvHKlyhQRQuL-I4o5kBw?authuser=0&hl=en&rclk=1,(0212) 604 01 00,http://www.altinbas.edu.tr/,info@altinbas.edu.tr
İstanbul Topkapi University,https://www.google.com/maps/place/%C4%B0stanbul+Topkapi+University/data=!4m7!3m6!1s0x14cab7f7b9620421:0xfe959152b4ae62cf!8m2!3d40.9951813!4d28.9176085!16s%2Fm%2F0114jrr3!19sChIJIQRiufe3yhQRz2KutFKRlf4?authuser=0&hl=en&rclk=1,N/A,https://www.topkapi.edu.tr/,N/A
Biruni University,https://www.google.com/maps/place/Biruni+University/data=!4m7!3m6!1s0x14cabbb1ade07b4d:0x41372ea4b54356d2!8m2!3d41.0178922!4d28.9164256!16s%2Fg%2F1q5jpwm52!19sChIJTXvgrbG7yhQR0lZDtaQuN0E?authuser=0&hl=en&rclk=1,444 8 276,https://www.biruni.edu.tr/,info@biruni.edu.tr
"Istinye University, Istanbul","https://www.google.com/maps/place/Istinye+University,+Istanbul/data=!4m7!3m6!1s0x14cabafff8520521:0x96c80abf76b35997!8m2!3d41.014689!4d28.9054296!16s%2Fg%2F11c6rjn0dx!19sChIJIQVS-P-6yhQRl1mzdr8KyJY?authuser=0&hl=en&rclk=1",0850 283 6000,http://www.istinye.edu.tr/,info@istinye.edu.tr
İstanbul Üniversitesi,https://www.google.com/maps/place/%C4%B0stanbul+%C3%9Cniversitesi/data=!4m7!3m6!1s0x14b55900c907616b:0xc661714e050ea782!8m2!3d41.068448!4d29.0076553!16s%2Fg%2F1jdmb44tn!19sChIJa2EHyQBZtRQRgqcOBU5xYcY?authuser=0&hl=en&rclk=1,(0212) 440 00 00,http://www.istanbul.edu.tr/,kurumsaliletisim@istanbul.edu.tr
Bahcesehir University,https://www.google.com/maps/place/Bahcesehir+University/data=!4m7!3m6!1s0x14cab7a2a2c3b963:0x7671d1b9817b8519!8m2!3d41.042165!4d29.0092591!16zL20vMGJxMWt0!19sChIJY7nDoqK3yhQRGYV7gbnRcXY?authuser=0&hl=en&rclk=1,(0212) 381 00 00,http://www.bau.edu.tr/,N/A
İstanbul Üniversitesi-Cerrahpaşa,https://www.google.com/maps/place/%C4%B0stanbul+%C3%9Cniversitesi-Cerrahpa%C5%9Fa/data=!4m7!3m6!1s0x14caa1a9851dd8b1:0x1221fb6d2da743aa!8m2!3d40.989464!4d28.7242816!16s%2Fg%2F11j23_x_l4!19sChIJsdgdhamhyhQRqkOnLW37IRI?authuser=0&hl=en&rclk=1,(0212) 404 03 00,https://www.iuc.edu.tr/,iuc@hs01.kep.tr
Medipol University Haliç Campus,https://www.google.com/maps/place/Medipol+University+Hali%C3%A7+Campus/data=!4m7!3m6!1s0x14cab0fcd3221453:0x114902068a3da9a5!8m2!3d41.0213864!4d28.9594171!16s%2Fg%2F11b7hh6wlt!19sChIJUxQi0_ywyhQRpak9igYCSRE?authuser=0&hl=en&rclk=1,444 8 544,https://www.medipol.edu.tr/en,N/A
İbn Haldun University,https://www.google.com/maps/place/%C4%B0bn+Haldun+University/data=!4m7!3m6!1s0x14caaf4c21136f81:0x474663fb7f0c41b4!8m2!3d41.1380494!4d28.7958172!16s%2Fg%2F11bzs24bkm!19sChIJgW8TIUyvyhQRtEEMf_tjRkc?authuser=0&hl=en&rclk=1,(0212) 692 02 12,http://www.ihu.edu.tr/,info@ihu.edu.tr
